id;source;destination;source_station;destination_station
68;M08;03ST;CUM;CUM
69;M14;02ST;CUM;CUM
70;M14;01ST;CUM;CUM
71;M12;04ST;CUM;CUM
74;M16;05ST;CUM;CUM
14;M02;M10;KAS;KAS
15;M02;M04;KAS;KAS
13;M04;M06;KAS;KAS
16;M06;M08;KAS;KAS
17;M06;M10;KAS;KAS
18;M08;M14;KAS;KAS
90;M05;05MT-o;CUM;CUM
91;M03;03MT-o;CUM;CUM
93;M01;01MT-o;CUM;CUM
115;M12;04ST;ARI;ARI
116;M12;03ST;ARI;ARI
117;M10;02ST;ARI;ARI
61;M04;M06;CUM;CUM
62;M02;M04;CUM;CUM
64;M06;M08;CUM;CUM
65;M06;M10;CUM;CUM
66;M10;M14;CUM;CUM
63;M02;M10;CUM;CUM
67;M08;M12;CUM;CUM
72;M12;M16;CUM;CUM
80;M19;M17;CUM;CUM
81;M17;M05;CUM;CUM
82;M17;M11;CUM;CUM
83;M15;M13;CUM;CUM
84;M13;M09;CUM;CUM
85;M13;M01;CUM;CUM
86;M11;M09;CUM;CUM
87;M09;M07;CUM;CUM
88;M07;M05;CUM;CUM
89;M07;M03;CUM;CUM
92;M03;M01;CUM;CUM
118;M10;01ST;ARI;ARI
145;M01;01MT-o;ARI;ARI
109;M04;M06;ARI;ARI
110;M02;M04;ARI;ARI
111;M02;M08;ARI;ARI
112;M06;M12;ARI;ARI
113;M06;M08;ARI;ARI
114;M08;M10;ARI;ARI
123;M19;M17;ARI;ARI
124;M19;M03;ARI;ARI
125;M17;M13;ARI;ARI
126;M15;M11;ARI;ARI
127;M13;M11;ARI;ARI
128;M13;M07;ARI;ARI
157;M02;M04;DEM;DEM
158;M02;M06;DEM;DEM
159;M04;M08;DEM;DEM
168;M07;M03;DEM;DEM
169;M05;M01;DEM;DEM
170;M03;M01;DEM;DEM
160;M06;01ST;DEM;DEM
161;M06;02ST;DEM;DEM
162;M08;03ST;DEM;DEM
163;M08;04ST;DEM;DEM
171;M03;03MT-o;DEM;DEM
172;M01;01MT-o;DEM;DEM
1;0021BT;0051BT;KAS;KAS
11;04MT-o;M04;KAS;KAS
73;06ST;M16;CUM;CUM
38;M09;M05;KAS;KAS
39;M09;M01;KAS;KAS
40;M03;M01;KAS;KAS
43;03MT-o;0201BT;KAS;KAS
20;M14;M16;KAS;KAS
24;M10;M12;KAS;KAS
44;01MT-o;0202BT;KAS;KAS
45;0201BT;0231BT;KAS;KAS
19;M08;03ST;KAS;KAS
21;M14;04ST;KAS;KAS
22;M16;06ST;KAS;KAS
27;06ST;M15;KAS;KAS
28;05ST;M15;KAS;KAS
23;M16;05ST;KAS;KAS
25;M12;01ST;KAS;KAS
41;M03;03MT-o;KAS;KAS
26;M12;02ST;KAS;KAS
42;M01;01MT-o;KAS;KAS
33;M15;M13;KAS;KAS
34;M13;M07;KAS;KAS
35;M07;M05;KAS;KAS
36;M11;M09;KAS;KAS
29;04ST;M13;KAS;KAS
30;03ST;M07;KAS;KAS
46;0202BT;0232BT;KAS;KAS
47;0231BT;0261BT;KAS;KAS
37;M05;M03;KAS;KAS
31;02ST;M11;KAS;KAS
32;01ST;M11;KAS;KAS
59;04MT-o;M04;CUM;CUM
48;0232BT;0262BT;KAS;KAS
49;0261BT;0291BT;KAS;CUM
129;M11;M09;ARI;ARI
131;M09;M07;ARI;ARI
132;M07;M05;ARI;ARI
134;M05;M03;ARI;ARI
191;M04;M06;KAR;KAR
192;M02;M04;KAR;KAR
193;M02;M08;KAR;KAR
194;M06;M10;KAR;KAR
195;M06;M08;KAR;KAR
198;M16;M18;KAR;KAR
200;M10;M12;KAR;KAR
