id;source;source_station;source_position_X;source_position_Y;destination_position_X;destination_position_Y
1;0021BT;KAS;44;482;156.0;482.0
11;04MT-o;KAS;604;482;715.0;496.0
73;06ST;CUM;630;354;757.0;345.0
43;03MT-o;KAS;1586;482;1698.0;482.0
44;01MT-o;KAS;1586;560;1698.0;560.0
45;0201BT;KAS;1698;482;1810.0;482.0
27;06ST;KAS;1028;290;1273.0;304.0
28;05ST;KAS;1016;354;1273.0;304.0
29;04ST;KAS;990;418;1312.0;409.0
30;03ST;KAS;986;482;1315.0;473.0
46;0202BT;KAS;1698;560;1810.0;560.0
47;0231BT;KAS;1810;482;1922.0;482.0
31;02ST;KAS;986;560;1300.0;560.0
32;01ST;KAS;1001;624;1300.0;560.0
59;04MT-o;CUM;448;482;559.0;496.0
48;0232BT;KAS;1810;560;1922.0;560.0
49;0261BT;KAS;1922;482;0.0;482.0
12;02MT-o;KAS;604;560;716.0;537.0
75;05ST;CUM;877;290;1094.0;304.0
76;04ST;CUM;834;418;1094.0;304.0
60;02MT-o;CUM;448;560;560.0;537.0
189;04MT-o;KAR;336;482;447.0;496.0
190;02MT-o;KAR;336;560;448.0;537.0
197;06ST;KAR;628;560;930.0;560.0
206;05ST;KAR;954;290;1273.0;304.0
207;04ST;KAR;1018;354;1273.0;304.0
208;03ST;KAR;1003;418;1312.0;409.0
209;02ST;KAR;898;482;1315.0;473.0
210;01ST;KAR;1020;560;1405.0;537.0
50;0262BT;KAS;1922;560;0.0;560.0
57;0391BT;CUM;336;482;448.0;482.0
58;0392BT;CUM;336;560;448.0;560.0
2;0022BT;KAS;44;560;156.0;560.0
3;0051BT;KAS;156;482;268.0;482.0
4;0052BT;KAS;156;560;268.0;560.0
5;0081BT;KAS;268;482;380.0;482.0
6;0082BT;KAS;268;560;380.0;560.0
7;0111BT;KAS;380;482;492.0;482.0
8;0112BT;KAS;380;560;492.0;560.0
77;03ST;CUM;830;482;1225.0;473.0
78;02ST;CUM;830;560;1210.0;560.0
79;01ST;CUM;845;624;1210.0;560.0
107;04MT-o;ARI;336;482;447.0;496.0
108;02MT-o;ARI;336;560;448.0;537.0
119;04ST;ARI;733;418;902.0;432.0
120;03ST;ARI;718;482;902.0;432.0
121;02ST;ARI;718;560;917.0;560.0
122;01ST;ARI;733;624;918.0;601.0
143;0613MT-o;ARI;1586;624;1698.0;560.0
144;0642MT-o;ARI;1592;560;1698.0;560.0
155;02MT-o;DEM;224;482;336.0;496.0
156;04MT-o;DEM;224;560;335.0;537.0
164;01ST;DEM;531;418;606.0;432.0
165;02ST;DEM;516;482;606.0;432.0
166;03ST;DEM;516;560;606.0;560.0
167;04ST;DEM;531;624;606.0;560.0
9;0141BT;KAS;492;482;604.0;482.0
10;0142BT;KAS;492;560;604.0;560.0
149;0701BT;ARI;2028;482;0.0;482.0
150;0702BT;ARI;2028;560;0.0;560.0
151;0731BT;DEM;0;482;112.0;482.0
152;0732BT;DEM;0;560;112.0;560.0
51;0291BT;CUM;0;482;112.0;482.0
52;0292BT;CUM;0;560;112.0;560.0
53;0321BT;CUM;112;482;224.0;482.0
54;0322BT;CUM;112;560;224.0;560.0
55;0361BT;CUM;224;482;336.0;482.0
56;0362BT;CUM;224;560;336.0;560.0
136;09MT-o;ARI;1233;482;1368.0;482.0
137;05MT-o;ARI;1270;545;1368.0;560.0
138;03MT-o;ARI;1278;624;1390.0;624.0
187;0971BT;KAR;224;482;336.0;482.0
188;0972BT;KAR;224;560;336.0;560.0
94;05MT-o;CUM;1496;418;1608.0;418.0
95;03MT-o;CUM;1586;482;1698.0;482.0
96;01MT-o;CUM;1586;560;1698.0;560.0
97;0441BT;CUM;1698;482;1810.0;482.0
98;0442BT;CUM;1698;560;1810.0;560.0
101;0501BT;ARI;0;482;112.0;482.0
102;0502BT;ARI;0;560;112.0;560.0
99;0471BT;CUM;1810;482;0.0;482.0
100;0472BT;CUM;1810;560;0.0;560.0
103;0531BT;ARI;112;482;224.0;482.0
104;0532BT;ARI;112;560;224.0;560.0
105;0571BT;ARI;224;482;336.0;482.0
106;0572BT;ARI;224;560;336.0;560.0
139;0611BT;ARI;1368;482;1480.0;482.0
141;0641BT;ARI;1480;482;1726.0;482.0
142;0642BT;ARI;1480;560;1592.0;560.0
146;01MT-o;ARI;1804;560;1916.0;560.0
147;0671BT;ARI;1726;482;2028.0;482.0
148;0672BT;ARI;1916;560;2028.0;560.0
153;0761BT;DEM;112;482;224.0;482.0
154;0762BT;DEM;112;560;224.0;560.0
173;01MT-o;DEM;802;482;914.0;482.0
174;03MT-o;DEM;802;560;914.0;560.0
175;0801BT;DEM;914;482;1026.0;482.0
176;0802BT;DEM;914;560;1026.0;560.0
177;0831BT;DEM;1026;482;1138.0;482.0
178;0832BT;DEM;1026;560;1138.0;560.0
179;0861BT;DEM;1138;482;1250.0;482.0
180;0862BT;DEM;1138;560;1250.0;560.0
181;0881BT;DEM;1250;482;0.0;482.0
182;0882BT;DEM;1250;560;0.0;560.0
183;0911BT;KAR;0;482;112.0;482.0
184;0912BT;KAR;0;560;112.0;560.0
185;0941BT;KAR;112;482;224.0;482.0
186;0942BT;KAR;112;560;224.0;560.0
140;0612BT;ARI;1368;560;1480.0;560.0
222;1021BT;KAR;1698;482;1810.0;482.0
223;1022BT;KAR;1698;560;1810.0;560.0
220;03MT-o;KAR;1586;560;1698.0;560.0
221;01MT-o;KAR;1586;482;1698.0;482.0
